dia,Velocidad,anio,mes,entidad
1,11.498562704166666,2020,5,Coahuila
2,8.929298654166665,2020,5,Coahuila
3,9.177955933333331,2020,5,Coahuila
4,10.172646162500001,2020,5,Coahuila
5,14.665886141666666,2020,5,Coahuila
6,13.778727875000003,2020,5,Coahuila
7,12.516300020833334,2020,5,Coahuila
8,14.494613304166668,2020,5,Coahuila
9,12.316843291666666,2020,5,Coahuila
10,15.0950185625,2020,5,Coahuila
11,14.290745833333332,2020,5,Coahuila
14,12.770671283333334,2020,4,Coahuila
15,15.310835041666664,2020,4,Coahuila
16,12.907610104166666,2020,4,Coahuila
17,9.496775758333332,2020,4,Coahuila
18,11.584680975,2020,4,Coahuila
19,17.7204642625,2020,4,Coahuila
20,6.403042958297871,2020,4,Coahuila
21,7.817373940425532,2020,4,Coahuila
22,14.571973050000002,2020,4,Coahuila
23,13.620874020833336,2020,4,Coahuila
24,8.982611466666667,2020,4,Coahuila
25,13.481555699999996,2020,4,Coahuila
26,14.226910534883723,2020,4,Coahuila
27,10.5870643025,2020,4,Coahuila
28,10.342797962499999,2020,4,Coahuila
29,14.307597958333334,2020,4,Coahuila
30,11.912547408333337,2020,4,Coahuila
1,11.498562704166666,2020,5,Coahuila
2,8.929298654166665,2020,5,Coahuila
3,9.177955933333331,2020,5,Coahuila
4,10.172646162500001,2020,5,Coahuila
5,14.665886141666666,2020,5,Coahuila
6,13.778727875000003,2020,5,Coahuila
7,12.516300020833334,2020,5,Coahuila
8,14.494613304166668,2020,5,Coahuila
9,12.316843291666666,2020,5,Coahuila
10,15.0950185625,2020,5,Coahuila
11,14.290745833333332,2020,5,Coahuila
14,12.770671283333334,2020,4,Coahuila
15,15.310835041666664,2020,4,Coahuila
16,12.907610104166666,2020,4,Coahuila
17,9.496775758333332,2020,4,Coahuila
18,11.584680975,2020,4,Coahuila
19,17.7204642625,2020,4,Coahuila
20,6.403042958297871,2020,4,Coahuila
21,7.817373940425532,2020,4,Coahuila
22,14.571973050000002,2020,4,Coahuila
23,13.620874020833336,2020,4,Coahuila
24,8.982611466666667,2020,4,Coahuila
25,13.481555699999996,2020,4,Coahuila
26,14.226910534883723,2020,4,Coahuila
27,10.5870643025,2020,4,Coahuila
28,10.342797962499999,2020,4,Coahuila
29,14.307597958333334,2020,4,Coahuila
30,11.912547408333337,2020,4,Coahuila
1,11.498562704166666,2020,5,Coahuila
2,8.929298654166665,2020,5,Coahuila
3,9.177955933333331,2020,5,Coahuila
4,10.172646162500001,2020,5,Coahuila
5,14.665886141666666,2020,5,Coahuila
6,13.778727875000003,2020,5,Coahuila
7,12.516300020833334,2020,5,Coahuila
8,14.494613304166668,2020,5,Coahuila
9,12.316843291666666,2020,5,Coahuila
10,15.0950185625,2020,5,Coahuila
11,14.290745833333332,2020,5,Coahuila
14,12.770671283333334,2020,4,Coahuila
15,15.310835041666664,2020,4,Coahuila
16,12.907610104166666,2020,4,Coahuila
17,9.496775758333332,2020,4,Coahuila
18,11.584680975,2020,4,Coahuila
19,17.7204642625,2020,4,Coahuila
20,6.403042958297871,2020,4,Coahuila
21,7.817373940425532,2020,4,Coahuila
22,14.571973050000002,2020,4,Coahuila
23,13.620874020833336,2020,4,Coahuila
24,8.982611466666667,2020,4,Coahuila
25,13.481555699999996,2020,4,Coahuila
26,14.226910534883723,2020,4,Coahuila
27,10.5870643025,2020,4,Coahuila
28,10.342797962499999,2020,4,Coahuila
29,14.307597958333334,2020,4,Coahuila
30,11.912547408333337,2020,4,Coahuila
1,14.507049283333332,2020,5,Chiapas
2,7.843983215833334,2020,5,Chiapas
3,3.721801989583333,2020,5,Chiapas
5,5.818572916666667,2020,5,Chiapas
6,6.290276204166667,2020,5,Chiapas
7,14.804052762499998,2020,5,Chiapas
8,7.442974233333334,2020,5,Chiapas
9,7.470897670833332,2020,5,Chiapas
10,19.645938707499997,2020,5,Chiapas
11,20.6399856875,2020,5,Chiapas
12,10.349301595833332,2020,5,Chiapas
14,7.177914370833335,2020,4,Chiapas
15,7.3129265779166674,2020,4,Chiapas
16,6.11754135625,2020,4,Chiapas
17,7.939537683333332,2020,4,Chiapas
18,8.329114429166667,2020,4,Chiapas
19,6.648889345833335,2020,4,Chiapas
20,5.875791112765956,2020,4,Chiapas
21,8.2123709106383,2020,4,Chiapas
22,7.849332429166668,2020,4,Chiapas
23,7.7832842158333335,2020,4,Chiapas
24,8.10084003625,2020,4,Chiapas
25,7.7252987654166665,2020,4,Chiapas
26,6.33770513023256,2020,4,Chiapas
27,10.861607414499996,2020,4,Chiapas
28,6.749836313043478,2020,4,Chiapas
29,8.879142654166666,2020,4,Chiapas
30,8.4267174575,2020,4,Chiapas
