location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200420T0000,20.633371,263.991
20200420T0100,18.72,270.0
20200420T0200,15.517629,273.9909
20200420T0300,12.287555,275.04245
20200420T0400,9.779817,276.34018
20200420T0500,7.928178,272.60257
20200420T0600,7.5599995,270.0
20200420T0700,6.489992,250.55997
20200420T0800,5.8048253,240.25513
20200420T0900,2.8116899,230.19443
20200420T1000,5.2416787,254.0546
20200420T1100,7.92,270.0
20200420T1200,8.669949,274.76364
20200420T1300,8.287822,272.48956
20200420T1400,7.92,270.0
20200420T1500,9.028754,265.4261
20200420T1600,9.726665,267.8789
20200420T1700,10.08,270.0
20200420T1800,10.446206,271.9749
20200420T1900,11.879999,270.0
20200420T2000,14.145756,255.25644
20200420T2100,19.721298,248.58704
20200420T2200,21.273533,246.0375
20200420T2300,19.813087,245.29758
20200421T0000,17.917007,247.55725
20200421T0100,17.418196,251.93953
20200421T0200,15.827721,252.80145
20200421T0300,13.570615,248.1986
20200421T0400,12.10157,239.62088
20200421T0500,9.686609,228.01279
20200421T0600,7.9932966,215.83765
20200421T0700,4.829907,206.56505
20200421T0800,9.904906,250.90651
20200421T0900,6.12,241.92752
20200421T1000,5.315336,241.69925
20200421T1100,5.6920996,251.56506
20200421T1200,6.638072,257.4712
20200421T1300,6.2145634,259.992
20200421T1400,4.452954,255.96376
20200421T1500,4.198285,239.03624
20200421T1600,4.3349743,228.36647
20200421T1700,5.1165614,230.7106
20200421T1800,6.4096174,231.84277
20200421T1900,8.161764,228.57634
20200421T2000,5.00128,149.74356
20200421T2100,11.165805,181.84761
20200421T2200,11.090103,193.13402
20200421T2300,11.384199,198.43495
20200422T0000,10.948973,207.40758
20200422T0100,11.753876,220.03026
20200422T0200,11.480557,228.81409
20200422T0300,11.019764,231.63252
20200422T0400,9.422101,226.54816
20200422T0500,8.435069,219.80557
20200422T0600,8.0899935,212.27565
20200422T0700,6.989936,214.50853
20200422T0800,6.618519,225.0
20200422T0900,4.8433046,221.98721
20200422T1000,5.3517847,222.27368
20200422T1100,7.9036193,239.93141
20200422T1200,10.587917,252.18112
20200422T1300,12.57426,256.7595
20200422T1400,14.264361,259.8245
20200422T1500,15.683776,260.7539
20200422T1600,17.163355,260.34012
20200422T1700,18.998314,260.1807
20200422T1800,19.839235,258.48618
20200422T1900,22.702845,255.30269
20200422T2000,19.416653,280.6849
20200422T2100,17.015474,263.92755
