location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200505T0000,3.7585104,343.30075
20200505T0100,4.5536795,341.56506
20200505T0200,4.73506,351.25385
20200505T0300,5.0911684,351.8699
20200505T0400,5.4833565,336.8014
20200505T0500,6.830519,341.56506
20200505T0600,7.8625183,344.0546
20200505T0700,6.12,331.92752
20200505T0800,7.42159,337.16635
20200505T0900,6.9153743,321.3402
20200505T1000,7.8625183,285.9454
20200505T1100,10.799999,270.0
20200505T1200,11.570515,264.64417
20200505T1300,13.779114,250.14479
20200505T1400,16.575644,235.61966
20200505T1500,20.371038,226.4321
20200505T1600,20.620804,225.70732
20200505T1700,20.88,226.39719
20200505T1800,18.075441,224.19308
20200505T1900,12.682018,214.59229
20200505T2000,9.0,196.26021
20200505T2100,5.154415,114.77514
20200505T2200,4.73506,81.25384
20200505T2300,1.609969,26.565033
20200506T0000,1.4399999,360.0
20200506T0100,1.8,360.0
20200506T0200,6.12,360.0
20200506T0300,8.287822,2.4895477
20200506T0400,7.5599995,360.0
20200506T0500,4.68,360.0
20200506T0600,2.0991426,329.03625
20200506T0700,4.0249224,333.43497
20200506T0800,3.96,360.0
20200506T0900,3.8268526,318.8141
20200506T1000,4.802999,282.99463
20200506T1100,8.78872,235.00798
20200506T1200,11.983188,212.73523
20200506T1300,15.778518,207.14969
20200506T1400,15.496736,210.73549
20200506T1500,16.075521,214.04594
20200506T1600,16.575644,214.38034
20200506T1700,16.79314,210.96376
20200506T1800,15.175612,202.30621
20200506T1900,12.661564,194.82648
20200506T2000,7.69592,190.7843
20200506T2100,5.4119864,93.81408
20200506T2200,5.3999996,53.130096
20200506T2300,1.609969,26.565033
20200507T0000,3.2399998,360.0
20200507T0100,6.28713,13.240509
20200507T0200,8.473393,12.2647705
20200507T0300,8.759178,9.462311
20200507T0400,6.924738,8.972626
20200507T0500,5.04,360.0
20200507T0600,4.829907,333.43497
20200507T0700,5.00128,329.7436
20200507T0800,5.1544156,12.094757
20200507T0900,4.3498964,245.55606
20200507T1000,5.1165614,230.7106
20200507T1100,9.511088,209.47589
20200507T1200,14.118243,199.359
20200507T1300,17.654688,200.28256
20200507T1400,17.22742,206.0296
20200507T1500,16.87398,213.69006
20200507T1600,15.986593,215.83765
20200507T1700,15.580141,220.3141
20200507T1800,13.276144,220.6013
20200507T1900,9.220499,218.65982
20200507T2000,5.3517847,199.65382
20200507T2100,4.5536795,108.434944
20200507T2200,3.2399998,89.99999
20200507T2300,0.35999998,89.99999
20200508T0000,1.0182338,315.0
20200508T0100,5.0528407,4.085617
20200508T0200,7.5599995,360.0
20200508T0300,8.28,360.0
20200508T0400,7.92,360.0
20200508T0500,6.12,360.0
20200508T0600,4.2136917,340.0169
20200508T0700,3.7064266,330.94543
20200508T0800,6.924738,8.972626
20200508T0900,3.8773184,338.1986
20200508T1000,6.725354,254.47589
20200508T1100,10.009036,232.30576
20200508T1200,12.599998,216.8699
20200508T1300,15.580141,220.3141
20200508T1400,18.584509,225.78482
20200508T1500,19.862083,223.5312
20200508T1600,18.844202,223.45184
20200508T1700,19.134262,221.18593
20200508T1800,17.429354,218.29016
20200508T1900,13.18308,214.99202
20200508T2000,9.290511,215.53769
20200508T2100,5.0142193,158.9625
20200508T2200,4.3349743,94.76365
20200508T2300,3.6,36.86989
