location,Bimbaletes Aguascalientes (El Álamo),Bimbaletes Aguascalientes (El Álamo)
lat,21.66655,21.66655
lon,-102.18750,-102.18750
asl,1949.318,1949.318
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Bimbaletes Aguascalientes (El Álamo) Wind Speed [80 m],Bimbaletes Aguascalientes (El Álamo) Wind Direction [80 m]
20200420T0000,30.421598,290.79413
20200420T0100,26.339111,291.656
20200420T0200,22.657131,287.57126
20200420T0300,19.06301,280.88553
20200420T0400,15.119999,270.0
20200420T0500,12.324414,263.29016
20200420T0600,10.739833,256.42957
20200420T0700,7.628263,250.70996
20200420T0800,7.729527,242.24146
20200420T0900,5.991594,237.26477
20200420T1000,9.021574,241.38954
20200420T1100,14.05845,256.67548
20200420T1200,17.227419,259.1597
20200420T1300,18.998314,260.1807
20200420T1400,20.008356,261.72412
20200420T1500,21.03152,263.1183
20200420T1600,20.570463,265.98584
20200420T1700,20.163212,268.977
20200420T1800,19.08,270.0
20200420T1900,19.08,270.0
20200420T2000,22.346113,267.2298
20200420T2100,30.248568,268.63608
20200420T2200,36.40453,272.8341
20200420T2300,35.036713,279.46234
20200421T0000,28.1169,283.32452
20200421T0100,20.192118,281.30994
20200421T0200,14.154915,277.30576
20200421T0300,11.542478,273.57632
20200421T0400,10.08,270.0
20200421T0500,9.0,270.0
20200421T0600,7.2359104,264.28943
20200421T0700,3.6179552,264.28943
20200421T0800,2.4149535,243.43495
20200421T0900,2.9024127,240.25513
20200421T1000,3.319036,229.39871
20200421T1100,2.5959969,236.30994
20200421T1200,3.4152596,251.56506
20200421T1300,4.8965297,233.97263
20200421T1400,7.2,233.1301
20200421T1500,9.585739,235.71313
20200421T1600,11.183201,236.82149
20200421T1700,13.0447235,242.02054
20200421T1800,14.658676,245.32315
20200421T1900,16.311613,247.96378
20200421T2000,11.570515,275.35583
20200421T2100,11.885453,268.26428
20200421T2200,13.441071,262.30396
20200421T2300,12.783802,260.27243
20200422T0000,11.090103,256.86597
20200422T0100,11.726277,252.1213
20200422T0200,12.43434,247.89056
20200422T0300,13.527572,244.79889
20200422T0400,14.007655,244.09349
20200422T0500,13.684735,243.43495
20200422T0600,13.363711,242.74467
20200422T0700,13.217443,240.64226
20200422T0800,9.422101,223.45184
20200422T0900,7.928177,230.52754
20200422T1000,10.805998,240.01837
20200422T1100,15.379206,249.44395
20200422T1200,18.584509,261.08508
20200422T1300,22.104116,263.4537
20200422T1400,24.251284,264.03552
20200422T1500,26.795223,263.82983
20200422T1600,28.19285,264.87183
20200422T1700,29.627363,265.12073
20200422T1800,29.5551,267.2073
20200422T1900,30.962095,269.3338
20200422T2000,27.288855,278.3439
20200422T2100,29.784426,277.6404
20200422T2200,31.616526,277.85333
20200422T2300,30.78368,280.7843
20200423T0000,29.795301,281.85303
20200423T0100,29.237675,279.92624
20200423T0200,29.239891,274.2364
20200423T0300,28.496904,266.3785
20200423T0400,28.1169,256.67548
20200423T0500,24.86868,247.89056
20200423T0600,20.456745,241.63095
20200423T0700,15.496736,239.26453
20200423T0800,10.829959,254.57785
20200423T0900,6.130579,266.63354
20200423T1000,10.787993,295.70996
20200423T1100,15.0038395,300.25644
20200423T1200,15.941944,295.4077
20200423T1300,17.227419,280.8403
20200423T1400,19.45333,272.1211
20200423T1500,21.2522,268.05853
20200423T1600,22.033648,265.31412
20200423T1700,23.177402,263.7581
20200423T1800,23.675303,261.25385
20200423T1900,24.149532,259.69516
20200423T2000,11.013882,281.30994
20200423T2100,14.417988,272.8624
20200423T2200,18.374111,267.75427
20200423T2300,18.391735,266.63354
20200424T0000,16.299694,263.65982
20200424T0100,13.493999,260.78897
20200424T0200,11.27553,253.30075
20200424T0300,9.983106,244.359
20200424T0400,10.1887,237.99463
20200424T0500,9.504272,232.69606
20200424T0600,8.654987,225.0
20200424T0700,7.928177,219.47246
20200424T0800,4.452954,194.03624
20200424T0900,4.379589,189.46233
20200424T1000,6.6185193,202.38013
20200424T1100,9.085988,213.69006
20200424T1200,12.261157,229.76364
20200424T1300,16.923828,240.70865
20200424T1400,20.46941,246.13983
20200424T1500,22.66857,249.55045
20200424T1600,23.224882,251.00336
20200424T1700,23.688984,253.21736
20200424T1800,22.79684,254.42746
20200424T1900,22.61419,256.185
20200424T2000,13.450708,254.47589
20200424T2100,15.725037,254.0546
20200424T2200,15.034041,253.30075
20200424T2300,12.758432,253.61046
20200425T0000,10.30883,245.22485
20200425T0100,8.78872,235.00798
20200425T0200,7.8954163,223.15239
20200425T0300,7.4128532,209.05461
20200425T0400,7.172949,197.52557
20200425T0500,6.489992,183.17982
20200425T0600,5.8603754,169.38034
20200425T0700,5.4833565,156.8014
20200425T0800,5.4477882,172.40535
20200425T0900,4.0249224,190.30484
20200425T1000,6.151683,200.55605
20200425T1100,9.659814,206.56505
20200425T1200,12.387348,215.53769
20200425T1300,14.565548,219.9869
20200425T1400,15.629971,218.4537
20200425T1500,16.135872,218.65982
20200425T1600,17.339897,221.63354
20200425T1700,17.826363,226.63658
20200425T1800,18.440998,231.3402
20200425T1900,18.775303,237.52881
20200425T2000,18.79255,233.56915
20200425T2100,13.746156,225.0
20200425T2200,6.130579,176.63354
20200425T2300,14.759999,102.680374
20200426T0000,24.251284,95.964485
20200426T0100,30.735231,95.3767
20200426T0200,30.77105,96.04409
20200426T0300,25.56,89.99999
20200426T0400,23.110207,85.53283
20200426T0500,22.963936,80.980675
20200426T0600,22.180206,76.86598
20200426T0700,20.176065,74.47588
20200426T0800,11.27553,106.69924
20200426T0900,10.365251,110.323135
20200426T1000,13.104198,127.1847
20200426T1100,13.217443,150.64224
20200426T1200,9.531505,169.11447
20200426T1300,5.04,180.0
20200426T1400,0.5091169,225.0
20200426T1500,2.0991426,30.963745
20200426T1600,6.1305785,49.76364
20200426T1700,10.144082,62.52556
20200426T1800,15.629971,75.3236
20200426T1900,25.455843,81.869896
20200426T2000,27.51116,96.009
20200426T2100,32.112724,93.8568
20200426T2200,36.57501,96.21563
20200426T2300,36.217144,96.27729
20200427T0000,33.805515,97.95752
20200427T0100,31.667723,98.49855
20200427T0200,29.427662,97.73359
20200427T0300,22.366402,93.69138
20200427T0400,18.0036,91.14575
20200427T0500,14.4,89.99999
20200427T0600,11.885453,88.26429
20200427T0700,10.086427,87.95459
20200427T0800,8.287822,87.510445
20200427T0900,5.8048253,97.125015
20200427T1000,5.5887027,165.06857
20200427T1100,10.97262,221.0091
20200427T1200,12.303366,249.44395
20200427T1300,12.682018,263.4802
20200427T1400,11.885453,271.73572
20200427T1500,12.959999,270.0
20200427T1600,14.04,270.0
20200427T1700,13.324863,271.54816
20200427T1800,14.417988,272.8624
20200427T1900,15.546833,275.31454
20200427T2000,13.441071,277.69604
20200427T2100,11.165805,290.77228
20200427T2200,10.182337,315.0
20200427T2300,11.457958,316.273
