location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200426T0000,17.462784,278.29715
20200426T0100,16.62249,274.96973
20200426T0200,16.299694,276.34018
20200426T0300,14.561099,278.53076
20200426T0400,12.371645,278.3659
20200426T0500,10.464798,273.9452
20200426T0600,8.473393,257.73523
20200426T0700,5.6233797,219.80557
20200426T0800,6.6185193,247.61987
20200426T0900,6.638072,282.5288
20200426T1000,9.449572,287.7447
20200426T1100,12.0694,287.35403
20200426T1200,14.039999,292.61987
20200426T1300,14.277983,303.69006
20200426T1400,17.87718,295.0169
20200426T1500,17.974781,302.73523
20200426T1600,17.826363,316.6366
20200426T1700,16.923828,330.70865
20200426T1800,15.941944,353.51694
20200426T1900,19.130875,19.798859
20200426T2000,22.159746,43.025055
20200426T2100,24.387178,58.891174
20200426T2200,25.516865,73.61045
20200426T2300,26.661882,87.67846
20200427T0000,27.343414,99.09027
20200427T0100,27.792374,106.55707
20200427T0200,27.70831,114.56717
20200427T0300,17.072504,137.56377
20200427T0400,15.30741,131.18591
20200427T0500,15.7908325,136.84761
20200427T0600,18.584509,134.21518
20200427T0700,10.691453,135.0
20200427T0800,12.88981,144.09027
20200427T0900,9.565437,160.20113
20200427T1000,8.669949,175.23636
20200427T1100,6.12,180.0
20200427T1200,5.4119864,176.18593
20200427T1300,4.8433046,311.98724
20200427T1400,9.885262,10.49147
20200427T1500,6.6185193,337.61987
20200427T1600,14.205182,8.74614
20200427T1700,19.523155,22.782394
20200427T1800,23.090569,30.963745
20200427T1900,24.766848,32.535065
20200427T2000,27.381308,39.130386
20200427T2100,29.6383,49.927094
20200427T2200,28.712116,59.89869
20200427T2300,26.89419,62.062843
20200428T0000,26.427528,65.87901
20200428T0100,25.14852,66.37062
20200428T0200,23.773632,57.994614
20200428T0300,11.480557,41.18593
20200428T0400,13.089354,31.504257
20200428T0500,15.315873,23.552261
20200428T0600,16.071491,15.592804
20200428T0700,12.074766,10.30484
20200428T0800,13.779114,19.85521
20200428T0900,12.849528,11.309921
20200428T1000,12.605142,358.36343
20200428T1100,14.587776,344.24884
20200428T1200,18.11841,339.04425
20200428T1300,22.33161,339.22775
20200428T1400,25.14852,336.37064
20200428T1500,26.576681,335.17065
20200428T1600,28.03612,335.7387
20200428T1700,27.56058,336.11353
20200428T1800,26.250393,334.8407
20200428T1900,23.828083,333.04782
20200428T2000,23.893261,329.18433
20200428T2100,23.773632,327.99463
20200428T2200,21.261345,331.69925
20200428T2300,18.58451,328.4652
20200429T0000,17.49615,323.3659
20200429T0100,17.373497,325.98065
20200429T0200,17.595861,329.2373
20200429T0300,16.676977,327.3391
20200429T0400,14.693999,329.03625
20200429T0500,12.074766,333.43497
20200429T0600,10.028439,338.9625
20200429T0700,5.991594,327.26477
20200429T0800,9.085988,326.30994
20200429T0900,10.739832,320.44034
20200429T1000,12.738099,317.29062
20200429T1100,15.7908325,316.8476
20200429T1200,17.566378,315.83032
20200429T1300,20.364674,315.0
20200429T1400,21.897945,316.3322
20200429T1500,28.312117,311.39154
20200429T1600,27.248455,313.394
20200429T1700,24.993437,318.50354
20200429T1800,23.740902,319.30447
20200429T1900,23.000591,320.07962
20200429T2000,19.969458,326.02347
20200429T2100,18.171976,326.30994
20200429T2200,15.315873,330.42218
20200429T2300,11.113451,335.09525
20200430T0000,5.6920996,341.56506
20200430T0100,1.8,360.0
20200430T0200,0.71999997,180.0
20200430T0300,1.9386592,201.8014
20200430T0400,2.9024127,187.12502
20200430T0500,4.3498964,204.44395
20200430T0600,6.439876,206.56505
20200430T0700,6.162207,186.70984
20200430T0800,5.04,180.0
20200430T0900,5.2416787,164.0546
20200430T1000,5.937272,165.96376
20200430T1100,5.4119864,183.81407
20200430T1200,6.763786,244.79889
20200430T1300,16.645864,291.57132
20200430T1400,27.059933,310.68396
20200430T1500,29.257614,304.47223
20200430T1600,24.798225,309.6991
20200430T1700,16.641972,321.14664
20200430T1800,12.24,331.92752
20200430T1900,11.885453,358.2643
20200430T2000,12.599998,36.86989
20200430T2100,15.459054,62.241455
20200430T2200,19.70815,80.537674
20200430T2300,22.319998,89.99999
20200501T0000,20.969805,101.88866
20200501T0100,21.575987,115.70995
20200501T0200,21.175837,125.31121
20200501T0300,9.339208,117.55281
20200501T0400,9.220499,128.6598
20200501T0500,10.1887,147.99461
20200501T0600,11.966954,164.29137
20200501T0700,6.4799995,180.0
20200501T0800,6.4096174,218.15723
20200501T0900,8.311245,265.03027
20200501T1000,13.979871,281.88867
20200501T1100,20.268991,289.7223
20200501T1200,24.162947,298.4742
20200501T1300,25.488914,306.38434
20200501T1400,26.044699,310.5154
20200501T1500,26.518099,311.69815
20200501T1600,23.977188,318.65222
20200501T1700,24.408424,322.7921
20200501T1800,22.322903,322.20605
20200501T1900,20.380579,324.34467
20200501T2000,19.734436,321.66666
20200501T2100,19.453327,321.00903
20200501T2200,20.746122,321.3402
20200501T2300,21.479664,320.44034
