location,El Progreso de Chiapas,El Progreso de Chiapas
lat,15.52838,15.52838
lon,-92.94272,-92.94272
asl,152.674,152.674
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Progreso de Chiapas Wind Speed [80 m],El Progreso de Chiapas Wind Direction [80 m]
20200505T0000,3.219938,206.56505
20200505T0100,3.219938,206.56505
20200505T0200,1.2979984,236.30994
20200505T0300,2.5455842,261.8699
20200505T0400,2.16,270.0
20200505T0500,2.5959969,326.30994
20200505T0600,3.319036,319.3987
20200505T0700,1.8,270.0
20200505T0800,2.8116899,230.19443
20200505T0900,5.904439,217.5686
20200505T1000,13.797913,195.12401
20200505T1100,6.379216,16.389526
20200505T1200,7.69592,10.7842865
20200505T1300,6.193674,215.53769
20200505T1400,9.0,163.73979
20200505T1500,8.404285,136.7357
20200505T1600,10.8955765,172.40535
20200505T1700,9.3876505,184.39871
20200505T1800,6.849467,183.01279
20200505T1900,5.315336,208.30077
20200505T2000,7.2359104,185.71059
20200505T2100,7.4128532,209.05461
20200505T2200,6.696387,233.74615
20200505T2300,5.506941,258.69006
20200506T0000,5.8048253,277.125
20200506T0100,4.829907,296.56506
20200506T0200,3.319036,257.4712
20200506T0300,3.8939953,213.69006
20200506T0400,2.0364676,225.0
20200506T0500,1.1384199,251.56506
20200506T0600,2.0364676,225.0
20200506T0700,2.0991426,329.03625
20200506T0800,2.16,270.0
20200506T0900,7.491114,234.78241
20200506T1000,11.753877,242.65013
20200506T1100,16.87398,236.30994
20200506T1200,16.363178,230.35583
20200506T1300,12.768586,229.57393
20200506T1400,12.864649,252.07208
20200506T1500,5.154415,294.77515
20200506T1600,3.8939953,236.30994
20200506T1700,8.891343,238.24052
20200506T1800,6.151683,249.44395
20200506T1900,4.0249224,243.43495
20200506T2000,1.9386592,248.1986
20200506T2100,3.5455887,336.0375
20200506T2200,4.510787,331.38956
20200506T2300,7.42159,14.03624
20200507T0000,12.313894,37.87497
20200507T0100,16.299694,46.789917
20200507T0200,16.923828,60.708633
20200507T0300,14.707222,68.45902
20200507T0400,20.380579,54.344658
20200507T0500,25.364037,55.4077
20200507T0600,31.557032,55.222168
20200507T0700,30.631746,60.42215
20200507T0800,12.413477,29.538757
20200507T0900,21.915691,47.662994
20200507T1000,16.58346,62.878693
20200507T1100,6.6185193,157.61987
20200507T1200,14.973577,207.1811
20200507T1300,17.10284,210.34326
20200507T1400,13.854155,204.56717
20200507T1500,11.988594,228.65222
20200507T1600,8.64,270.0
20200507T1700,4.452954,255.96376
20200507T1800,7.2,216.8699
20200507T1900,8.161764,228.57634
20200507T2000,2.0364676,135.0
20200507T2100,6.9247384,62.102737
20200507T2200,15.281989,43.09085
20200507T2300,18.971008,33.388504
20200508T0000,14.264361,47.045395
20200508T0100,7.386582,46.97493
20200508T0200,5.904439,37.568573
20200508T0300,6.6185193,22.380127
20200508T0400,2.9024127,29.744873
20200508T0500,2.4149535,63.43495
20200508T0600,4.2136917,70.016884
20200508T0700,5.3999996,36.86989
20200508T0800,6.1094027,44.999985
20200508T0900,4.39436,214.99202
20200508T1000,10.514218,218.04704
20200508T1100,11.298495,210.65067
20200508T1200,12.72283,205.11484
20200508T1300,11.631956,201.8014
20200508T1400,11.874544,194.03624
20200508T1500,15.463246,204.77515
20200508T1600,11.435313,208.17859
20200508T1700,7.628263,199.29004
20200508T1800,6.924738,188.97263
20200508T1900,7.754637,201.8014
20200508T2000,4.802999,167.00539
20200508T2100,2.4149535,116.56505
20200508T2200,2.0364676,44.999985
20200508T2300,2.52,360.0
20200509T0000,4.198285,239.03624
20200509T0100,3.096837,215.53769
20200509T0200,2.3051248,321.3402
20200509T0300,3.9763298,275.19443
20200509T0400,2.0991426,300.96378
20200509T0500,8.049845,349.69516
20200509T0600,9.028754,355.4261
20200509T0700,2.9024127,7.125
20200509T0800,2.52,360.0
20200509T0900,6.9527545,248.7495
20200509T1000,12.229406,227.38594
20200509T1100,12.738099,227.29062
20200509T1200,11.753876,229.96974
20200509T1300,11.923557,241.11342
20200509T1400,13.104198,232.8153
20200509T1500,12.229406,227.38594
20200509T1600,7.2,233.1301
20200509T1700,7.5685663,272.72632
20200509T1800,10.365251,290.32315
20200509T1900,10.182337,278.1301
20200509T2000,4.6938257,237.52881
20200509T2100,4.2136917,340.0169
20200509T2200,7.92,360.0
20200509T2300,8.049845,10.30484
20200510T0000,6.725354,15.524109
20200510T0100,6.725354,15.524109
20200510T0200,15.986593,35.837646
20200510T0300,27.36947,35.362457
20200510T0400,32.651028,34.2157
20200510T0500,36.343952,33.690063
20200510T0600,36.84332,33.845337
20200510T0700,38.45939,35.47531
20200510T0800,12.879752,26.565033
20200510T0900,26.42753,37.80652
20200510T1000,33.39473,48.058685
20200510T1100,26.427528,65.87901
20200510T1200,10.137692,106.50436
20200510T1300,11.367109,190.95407
20200510T1400,17.10284,210.34326
20200510T1500,17.072504,204.94391
20200510T1600,13.37825,203.80594
20200510T1700,9.178235,168.69006
20200510T1800,8.287822,177.51045
20200510T1900,0.35999998,89.99999
20200510T2000,6.379216,16.389526
20200510T2100,19.386593,21.801407
20200510T2200,24.633049,26.93953
20200510T2300,33.985218,36.38434
20200511T0000,32.559605,35.09581
20200511T0100,37.372437,35.986786
20200511T0200,36.57855,36.193207
20200511T0300,36.001797,40.53914
20200511T0400,23.950148,42.56334
20200511T0500,25.537172,40.426056
20200511T0600,25.96995,43.876694
20200511T0700,30.0767,42.089157
20200511T0800,18.472595,33.07068
20200511T0900,27.757376,43.423447
20200511T1000,28.162954,57.5288
20200511T1100,17.58481,67.10944
20200511T1200,12.594856,59.036255
20200511T1300,8.39657,59.036232
20200511T1400,10.086427,182.04541
20200511T1500,20.969805,191.88866
20200511T1600,18.175545,187.9696
20200511T1700,18.751125,183.30186
20200511T1800,15.119999,180.0
20200511T1900,13.32,180.0
20200511T2000,7.2805495,171.46924
20200511T2100,3.0547013,44.999985
20200511T2200,7.7043357,37.40535
20200511T2300,19.881649,47.93567
20200512T0000,28.006056,46.041626
20200512T0100,19.513195,60.124
20200512T0200,13.37825,66.194046
20200512T0300,14.003028,46.041626
20200512T0400,17.377226,39.957535
20200512T0500,13.276144,49.398697
20200512T0600,13.896187,53.426956
20200512T0700,13.246826,47.20259
20200512T0800,4.6938257,57.5288
20200512T0900,6.9247384,207.89728
20200512T1000,8.557102,202.24902
20200512T1100,9.178235,205.55997
20200512T1200,11.113451,204.90477
20200512T1300,13.358861,194.03624
20200512T1400,11.183201,183.69139
20200512T1500,11.212135,185.52754
20200512T1600,9.0645685,186.84277
20200512T1700,7.771331,193.3925
20200512T1800,2.0991426,210.96376
20200512T1900,1.835647,258.69006
20200512T2000,4.1046314,254.74487
20200512T2100,4.68,270.0
20200512T2200,4.1046314,285.25513
20200512T2300,5.8048253,277.125
