location,Las Cañadas,Las Cañadas
lat,20.33322,20.33322
lon,-102.18750,-102.18750
asl,1734.639,1734.639
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Las Cañadas Wind Speed [80 m],Las Cañadas Wind Direction [80 m]
20200420T0000,17.414476,262.875
20200420T0100,15.124284,268.63608
20200420T0200,12.620554,273.2705
20200420T0300,10.495713,275.90616
20200420T0400,8.707238,277.125
20200420T0500,7.6367526,278.1301
20200420T0600,6.9899354,281.88867
20200420T0700,6.28713,283.2405
20200420T0800,5.0911684,278.1301
20200420T0900,2.4149535,296.56506
20200420T1000,3.671294,258.69006
20200420T1100,6.4799995,270.0
20200420T1200,9.3669195,267.7974
20200420T1300,10.594036,260.2176
20200420T1400,11.177405,255.06857
20200420T1500,12.758432,253.61046
20200420T1600,14.05845,256.67548
20200420T1700,15.328561,260.5377
20200420T1800,16.299694,263.65982
20200420T1900,17.414476,262.875
20200420T2000,18.861387,256.75946
20200420T2100,24.033876,253.46516
20200420T2200,25.071096,254.16762
20200420T2300,24.014996,257.00537
20200421T0000,20.898611,259.0772
20200421T0100,18.35647,258.69006
20200421T0200,16.09969,259.69516
20200421T0300,12.144331,258.02386
20200421T0400,10.041354,255.46555
20200421T0500,8.311245,252.34988
20200421T0600,6.9527545,248.7495
20200421T0700,3.396233,237.99463
20200421T0800,7.754637,248.1986
20200421T0900,5.154415,245.22485
20200421T1000,5.00128,239.74356
20200421T1100,5.315336,241.69925
20200421T1200,6.6185193,247.61987
20200421T1300,7.24486,243.43495
20200421T1400,6.989936,235.49149
20200421T1500,8.14587,225.0
20200421T1600,8.913181,226.63658
20200421T1700,9.726664,231.009
20200421T1800,10.514218,231.95296
20200421T1900,12.819235,231.84277
20200421T2000,17.377226,256.82745
20200421T2100,19.272614,237.20047
20200421T2200,18.899143,229.63547
20200421T2300,18.335276,226.59114
20200422T0000,17.566378,224.16968
20200422T0100,17.31746,223.3153
20200422T0200,15.03835,222.08917
20200422T0300,13.755579,222.8789
20200422T0400,11.966954,223.78113
20200422T0500,10.195057,222.1376
20200422T0600,8.714677,218.29016
20200422T0700,7.127636,225.0
20200422T0800,6.489992,236.30994
20200422T0900,4.3349743,221.63354
20200422T1000,5.8603754,222.51045
20200422T1100,8.587338,236.97614
20200422T1200,11.503113,249.86371
20200422T1300,14.494192,255.61862
20200422T1400,16.808569,260.1342
20200422T1500,18.94024,261.25385
20200422T1600,20.833395,260.04938
20200422T1700,22.668568,259.93933
20200422T1800,24.149532,259.69516
20200422T1900,26.6327,256.71515
20200422T2000,23.857979,264.80557
20200422T2100,24.975283,254.96219
20200422T2200,23.933907,248.83875
20200422T2300,21.42227,245.15762
20200423T0000,18.998316,242.9494
20200423T0100,15.696165,233.39293
20200423T0200,12.984975,226.1233
20200423T0300,12.229406,222.61406
20200423T0400,11.753876,220.03026
20200423T0500,9.504272,217.30396
20200423T0600,7.491114,215.21759
20200423T0700,5.692099,214.69516
20200423T0800,9.021574,208.61046
20200423T0900,5.937272,194.03624
20200423T1000,5.495161,211.6075
20200423T1100,6.151683,249.44395
20200423T1200,10.495713,275.90616
20200423T1300,14.440443,274.28915
20200423T1400,17.283749,268.80652
20200423T1500,19.959719,262.74683
20200423T1600,21.129885,261.17963
20200423T1700,22.553936,261.74057
20200423T1800,23.319553,261.11935
20200423T1900,23.73271,260.3948
20200423T2000,17.727943,246.0375
20200423T2100,19.681828,230.19443
20200423T2200,19.107151,227.29062
20200423T2300,16.055355,227.72632
20200424T0000,14.799459,228.94519
20200424T0100,13.004922,228.36647
20200424T0200,10.948973,226.33223
20200424T0300,9.1641035,225.0
20200424T0400,8.404285,223.2643
20200424T0500,6.4096174,218.15723
20200424T0600,4.6938257,212.47119
20200424T0700,3.219938,206.56505
20200424T0800,6.12,208.0725
20200424T0900,4.0249224,206.56505
20200424T1000,4.829907,206.56505
20200424T1100,5.904439,217.5686
20200424T1200,7.9932966,234.16235
20200424T1300,9.339208,242.44719
20200424T1400,11.183201,236.82149
20200424T1500,12.387348,234.46233
20200424T1600,13.281023,237.17145
20200424T1700,15.379206,237.42595
20200424T1800,16.375053,236.6593
20200424T1900,16.87398,236.30994
20200424T2000,8.311245,252.34988
20200424T2100,8.161764,221.42366
20200424T2200,9.511088,209.47589
20200424T2300,9.885262,213.11134
20200425T0000,10.009036,217.69424
20200425T0100,9.931042,223.5312
20200425T0200,8.654987,225.0
20200425T0300,7.653705,228.81409
20200425T0400,6.4096174,231.84277
20200425T0500,4.5820518,225.0
20200425T0600,3.096837,215.53769
20200425T0700,1.4399999,180.0
20200425T0800,4.802999,192.99461
20200425T0900,3.6179552,185.71059
20200425T1000,3.2399998,180.0
20200425T1100,4.1046314,195.25513
20200425T1200,6.6185193,202.38013
20200425T1300,9.346143,195.64224
20200425T1400,10.390226,194.03624
20200425T1500,11.013882,191.30994
20200425T1600,12.0694,197.35403
20200425T1700,12.879752,206.56505
20200425T1800,12.819235,218.15723
20200425T1900,12.475961,226.16914
20200425T2000,3.9763298,95.19443
20200425T2100,6.489992,176.82018
20200425T2200,8.64,180.0
20200425T2300,8.825508,191.7683
20200426T0000,8.825508,191.7683
20200426T0100,7.6367526,188.1301
20200426T0200,6.130579,183.36646
20200426T0300,5.0528407,175.91438
20200426T0400,4.0249224,153.43495
20200426T0500,4.8433046,131.98721
20200426T0600,7.5170207,106.69924
20200426T0700,10.538843,97.85332
20200426T0800,9.339208,117.55281
20200426T0900,8.049845,116.56505
20200426T1000,9.19939,120.57922
20200426T1100,8.435069,129.80557
20200426T1200,5.1919937,146.30994
20200426T1300,2.52,180.0
20200426T1400,1.484318,194.03624
20200426T1500,1.9386592,158.1986
20200426T1600,2.3051248,141.34018
20200426T1700,2.0364676,135.0
20200426T1800,3.319036,130.60129
20200426T1900,6.297428,120.963745
20200426T2000,13.0447235,117.97947
20200426T2100,16.394829,109.230675
20200426T2200,16.676977,103.73626
20200426T2300,16.039202,99.03948
20200427T0000,15.188415,95.44032
20200427T0100,14.044615,91.468796
20200427T0200,13.679999,89.99999
20200427T0300,13.32,89.99999
20200427T0400,13.679999,89.99999
20200427T0500,13.679999,89.99999
20200427T0600,13.679999,89.99999
20200427T0700,14.05845,87.06432
20200427T0800,13.339445,86.90593
20200427T0900,9.0,89.99999
20200427T1000,8.473393,102.26477
20200427T1100,4.072935,135.0
20200427T1200,3.5455887,246.0375
20200427T1300,6.8399997,270.0
20200427T1400,7.5942073,275.44034
20200427T1500,5.4119864,273.8141
20200427T1600,5.04,270.0
20200427T1700,5.04,270.0
20200427T1800,5.506941,258.69006
20200427T1900,7.0911775,246.0375
20200427T2000,9.931042,223.5312
20200427T2100,12.879752,206.56505
20200427T2200,15.124284,218.23383
20200427T2300,19.483284,242.488
