location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25000,-116.25000
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200504T0000,1.4399999,180.0
20200504T0100,0.35999998,180.0
20200504T0200,0.35999998,360.0
20200504T0300,1.8,360.0
20200504T0400,2.5455842,8.130096
20200504T0500,5.8603754,10.619659
20200504T0600,5.8603754,10.619659
20200504T0700,6.151683,20.556046
20200504T0800,3.8939953,56.30993
20200504T0900,0.0,180.0
20200504T1000,3.5455887,246.0375
20200504T1100,7.342588,258.69006
20200504T1200,11.212135,264.47247
20200504T1300,16.923828,271.21887
20200504T1400,19.083395,271.08093
20200504T1500,21.599998,270.0
20200504T1600,20.880001,270.0
20200504T1700,19.110542,266.7603
20200504T1800,14.145756,255.25644
20200504T1900,11.298495,247.52057
20200504T2000,7.289444,249.77515
20200504T2100,0.8049845,243.43495
20200504T2200,3.2599385,83.65981
20200504T2300,4.6938252,85.60129
20200505T0000,4.802999,77.00538
20200505T0100,4.802999,77.00538
20200505T0200,5.1544156,77.905235
20200505T0300,5.506941,78.69006
20200505T0400,5.8048253,82.874985
20200505T0500,7.928178,92.602554
20200505T0600,8.311245,94.96974
20200505T0700,9.3669195,92.2026
20200505T0800,9.0645685,96.84277
20200505T0900,4.8965297,126.027374
20200505T1000,4.6938252,175.60129
20200505T1100,7.2,216.8699
20200505T1200,10.514218,231.95296
20200505T1300,14.168641,242.78389
20200505T1400,18.331741,250.49756
20200505T1500,21.566975,255.49983
20200505T1600,22.530937,257.074
20200505T1700,20.620806,253.77982
20200505T1800,10.163227,247.0679
20200505T1900,10.636766,246.0375
20200505T2000,8.427383,250.0169
20200505T2100,4.2136917,250.0169
20200505T2200,1.08,180.0
20200505T2300,1.835647,101.30993
20200506T0000,1.8,89.99999
20200506T0100,2.968636,75.96376
20200506T0200,4.32,89.99999
20200506T0300,5.3999996,89.99999
20200506T0400,6.519877,96.34019
20200506T0500,6.87779,96.009
20200506T0600,2.52,89.99999
20200506T0700,3.2399998,89.99999
20200506T0800,3.396233,122.00538
20200506T0900,4.379589,189.46233
20200506T1000,7.42159,202.83365
20200506T1100,11.808878,217.5686
20200506T1200,15.30741,221.18593
20200506T1300,18.668005,230.47737
20200506T1400,19.878391,234.58295
20200506T1500,23.510508,244.61209
20200506T1600,24.675106,246.8014
