location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200420T0000,29.522196,270.6987
20200420T0100,22.366402,273.6914
20200420T0200,14.05845,272.93567
20200420T0300,8.350138,262.5686
20200420T0400,6.193674,234.46233
20200420T0500,7.145796,220.91438
20200420T0600,7.7043357,217.40535
20200420T0700,4.072935,225.0
20200420T0800,5.6233797,219.80557
20200420T0900,5.3517847,222.27368
20200420T1000,5.1919937,236.30994
20200420T1100,9.826088,261.57303
20200420T1200,15.03835,258.95908
20200420T1300,16.946787,257.73523
20200420T1400,17.462784,261.70285
20200420T1500,18.014393,267.7094
20200420T1600,17.673029,273.50354
20200420T1700,17.106628,278.47116
20200420T1800,15.893093,283.0919
20200420T1900,14.241629,286.14435
20200420T2000,11.966953,291.16125
20200420T2100,8.891344,291.37064
20200420T2200,6.28713,283.2405
20200420T2300,3.96,270.0
20200421T0000,1.8,233.1301
20200421T0100,3.2599385,173.6598
20200421T0200,4.68,180.0
20200421T0300,4.73506,188.74615
20200421T0400,5.00128,210.25644
20200421T0500,5.6233797,219.80557
20200421T0600,5.6002855,225.0
20200421T0700,4.32,180.0
20200421T0800,2.8116899,219.80557
20200421T0900,3.0547013,225.0
20200421T1000,2.3051248,231.3402
20200421T1100,1.609969,296.56506
20200421T1200,2.5455842,351.8699
20200421T1300,2.4149535,26.565033
20200421T1400,1.609969,26.565033
20200421T1500,0.8049845,63.43495
20200421T1600,0.71999997,89.99999
20200421T1700,1.4399999,89.99999
20200421T1800,3.6179552,95.71059
20200421T1900,8.759178,99.46232
20200421T2000,7.92,89.99999
20200421T2100,14.618837,99.92624
20200421T2200,15.716793,110.09523
20200421T2300,12.55879,117.29957
20200422T0000,9.387651,122.47119
20200422T0100,7.8954163,133.15239
20200422T0200,6.489992,146.30994
20200422T0300,6.519877,173.6598
20200422T0400,7.8625183,195.9454
20200422T0500,9.021574,208.61046
20200422T0600,9.726664,218.991
