location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200420T0000,20.721119,97.989334
20200420T0100,17.294992,87.61405
20200420T0200,12.6462,85.10091
20200420T0300,8.28,89.99999
20200420T0400,4.198285,120.96376
20200420T0500,2.8799999,180.0
20200420T0600,2.5455842,225.0
20200420T0700,5.4477882,277.59464
20200420T0800,5.771239,273.57632
20200420T0900,5.937272,284.03625
20200420T1000,6.6185193,292.38013
20200420T1100,7.754637,291.8014
20200420T1200,8.0899935,302.27563
20200420T1300,10.703569,312.27368
20200420T1400,7.653705,318.8141
20200420T1500,1.0182338,135.0
20200420T1600,10.739832,129.55966
20200420T1700,17.917007,112.44274
20200420T1800,22.033648,85.3141
20200420T1900,35.457714,74.69386
20200420T2000,33.449017,81.9571
20200420T2100,24.905132,85.85537
20200420T2200,23.803596,86.53177
20200420T2300,19.201874,83.54118
20200421T0000,15.725037,74.054596
20200421T0100,13.849477,62.102737
20200421T0200,9.085988,56.30993
20200421T0300,3.8939953,56.30993
20200421T0400,1.609969,26.565033
20200421T0500,2.16,360.0
20200421T0600,2.0364676,315.0
20200421T0700,1.9386592,68.19859
20200421T0800,2.1897945,350.5377
20200421T0900,3.319036,319.3987
20200421T1000,2.5455842,315.0
20200421T1100,0.0,180.0
20200421T1200,2.9024127,119.74488
20200421T1300,8.854829,116.56505
20200421T1400,15.596767,108.85315
20200421T1500,21.03152,96.881714
20200421T1600,20.275383,83.8845
20200421T1700,24.1388,72.64597
20200421T1800,24.482647,70.23282
20200421T1900,26.459389,75.01836
20200421T2000,21.900904,64.69861
20200421T2100,19.64558,76.2184
20200421T2200,20.929596,86.05482
20200421T2300,19.562946,77.24247
20200422T0000,17.727943,66.037506
20200422T0100,13.044722,50.599335
20200422T0200,4.1046314,37.87497
20200422T0300,2.16,270.0
20200422T0400,3.96,270.0
20200422T0500,4.510787,298.61047
20200422T0600,5.6233797,309.80557
20200422T0700,5.692099,325.30484
20200422T0800,5.0911684,261.8699
20200422T0900,4.896529,252.89728
20200422T1000,5.991594,237.26477
20200422T1100,4.829907,243.43495
20200422T1200,5.0528407,265.91437
20200422T1300,5.937272,284.03625
20200422T1400,6.830519,288.43497
20200422T1500,7.5170207,286.69925
20200422T1600,7.6367526,278.1301
20200422T1700,4.1046314,254.74487
20200422T1800,14.24163,110.725555
