location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200505T0000,6.989936,34.508514
20200505T0100,3.396233,32.005356
20200505T0200,0.71999997,180.0
20200505T0300,3.6,233.1301
20200505T0400,4.896529,252.89728
20200505T0500,5.7599998,270.0
20200505T0600,5.937272,284.03625
20200505T0700,10.041354,284.53445
20200505T0800,10.24578,288.43494
20200505T0900,8.707237,299.74487
20200505T1000,5.815978,338.1986
20200505T1100,7.42159,14.03624
20200505T1200,11.525623,38.659805
20200505T1300,17.581125,47.489548
20200505T1400,21.028437,51.95294
20200505T1500,23.507753,62.65013
20200505T1600,22.884789,70.70995
20200505T1700,25.49908,76.94475
20200505T1800,21.897945,80.537674
20200505T1900,21.791153,82.40536
20200505T2000,24.014996,66.12472
20200505T2100,22.380884,64.25929
20200505T2200,17.533146,70.820984
20200505T2300,17.654688,87.66269
20200506T0000,10.24578,71.565056
20200506T0100,8.891343,58.24051
20200506T0200,10.315115,60.751175
20200506T0300,11.753877,62.65013
20200506T0400,10.00256,59.74356
20200506T0500,4.6800003,22.619858
20200506T0600,0.8049845,153.43495
20200506T0700,5.0528407,85.91438
20200506T0800,6.6087217,60.64225
20200506T0900,8.825508,78.231705
20200506T1000,11.792404,77.66091
20200506T1100,19.602652,82.61395
20200506T1200,19.443333,91.060905
20200506T1300,19.813087,92.08256
20200506T1400,20.211363,85.91438
20200506T1500,22.505037,82.64761
20200506T1600,22.862125,82.76308
20200506T1700,23.73271,80.39479
20200506T1800,21.897945,80.537674
20200506T1900,20.364674,81.869896
20200506T2000,20.620806,73.77981
20200506T2100,17.377226,76.827446
20200506T2200,12.245294,91.68468
20200506T2300,10.08,89.99999
20200507T0000,8.049845,79.695145
20200507T0100,7.5599995,89.99999
20200507T0200,5.95906,115.01689
20200507T0300,4.072935,135.0
20200507T0400,2.9024127,150.25511
20200507T0500,1.835647,168.69006
20200507T0600,3.2599385,186.3402
20200507T0700,5.3517847,199.65382
20200507T0800,2.8116899,219.80557
20200507T0900,0.5091169,315.0
20200507T1000,2.9024127,60.25511
20200507T1100,7.69592,79.2157
20200507T1200,11.570515,84.64417
20200507T1300,14.830076,84.4278
20200507T1400,15.629972,82.056526
20200507T1500,18.0036,78.46538
20200507T1600,18.345877,74.054596
20200507T1700,19.011953,71.22196
20200507T1800,18.214718,71.56504
20200507T1900,18.692286,74.35776
20200507T2000,14.973576,80.31121
20200507T2100,15.03835,78.95905
20200507T2200,10.853866,84.289406
20200507T2300,7.9932966,125.83765
20200508T0000,10.105681,175.91438
20200508T0100,11.183201,213.17851
20200508T0200,11.4862,237.80426
20200508T0300,12.303366,249.44395
20200508T0400,13.138765,260.5377
20200508T0500,15.137133,267.27368
20200508T0600,16.575644,272.48956
20200508T0700,18.775301,274.3987
20200508T0800,12.959999,270.0
20200508T0900,13.722565,274.51398
20200508T1000,13.358861,284.03625
20200508T1100,12.303366,290.55603
20200508T1200,13.324863,308.41806
20200508T1300,16.862455,343.8866
20200508T1400,18.0,360.0
20200508T1500,16.09969,10.30484
20200508T1600,15.876775,32.96939
20200508T1700,18.440998,51.34018
20200508T1800,22.226902,65.09524
20200508T1900,27.248457,74.67848
20200508T2000,11.966954,15.708633
20200508T2100,15.941944,25.407715
20200508T2200,13.237038,44.999985
