location,San Bartolo,San Bartolo
lat,19.79511,19.79511
lon,-90.56491,-90.56491
asl,39.683,39.683
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Bartolo Wind Speed [80 m],San Bartolo Wind Direction [80 m]
20200505T0000,23.532547,119.310005
20200505T0100,22.17144,122.39984
20200505T0200,21.175837,125.31121
20200505T0300,20.592503,126.46923
20200505T0400,19.878391,125.41705
20200505T0500,19.171478,124.28687
20200505T0600,18.581022,125.537674
20200505T0700,16.981165,122.00538
20200505T0800,17.477621,122.38068
20200505T0900,18.218275,127.77568
20200505T1000,16.363178,129.64417
20200505T1100,14.113652,127.7468
20200505T1200,11.090103,125.75388
20200505T1300,5.8048253,119.74488
20200505T1400,1.609969,63.43495
20200505T1500,10.028439,338.9625
20200505T1600,19.930477,339.92847
20200505T1700,26.459389,345.01837
20200505T1800,24.216522,348.85712
20200505T1900,18.709612,348.90628
20200505T2000,22.553936,8.25943
20200505T2100,17.163355,9.659882
20200505T2200,12.475961,43.830856
20200505T2300,14.830076,95.5722
20200506T0000,18.79255,126.430855
20200506T0100,21.203358,130.17923
20200506T0200,21.313093,127.45058
20200506T0300,20.018072,127.69424
20200506T0400,19.008545,127.30394
20200506T0500,18.079027,125.27242
20200506T0600,16.485485,121.6075
20200506T0700,15.629971,118.92642
20200506T0800,13.708391,113.19859
20200506T0900,14.33234,115.27772
20200506T1000,13.1041975,110.9245
20200506T1100,8.707238,97.125015
20200506T1200,6.28713,66.37062
20200506T1300,9.0,360.0
20200506T1400,19.576189,327.77124
20200506T1500,26.959166,325.88556
20200506T1600,26.944744,337.2035
20200506T1700,29.714724,340.90652
20200506T1800,29.834423,340.25317
20200506T1900,27.181787,348.54126
20200506T2000,20.945072,24.362442
20200506T2100,23.770906,35.134186
20200506T2200,27.231804,65.806786
20200506T2300,24.798225,80.811165
20200507T0000,20.598795,84.986885
20200507T0100,17.015474,83.927536
20200507T0200,16.171976,73.17859
20200507T0300,17.377226,76.827446
20200507T0400,16.700275,82.56859
20200507T0500,14.917212,81.67435
20200507T0600,14.934577,74.62374
20200507T0700,15.629971,75.3236
20200507T0800,13.70839,60.06849
20200507T0900,12.879752,63.43495
20200507T1000,13.089354,58.495735
20200507T1100,12.538134,50.82634
20200507T1200,12.682018,34.59227
20200507T1300,13.32,18.924637
20200507T1400,13.363711,4.6354523
20200507T1500,11.542478,3.5763245
20200507T1600,7.5942082,31.42955
20200507T1700,8.373386,64.53666
20200507T1800,12.496719,78.36636
20200507T1900,15.4800005,89.99999
20200507T2000,12.261158,86.63353
20200507T2100,18.175545,82.03039
20200507T2200,18.129137,83.15723
20200507T2300,18.0,89.99999
20200508T0000,17.114204,104.620865
20200508T0100,17.811815,104.03624
20200508T0200,17.114204,104.620865
20200508T0300,17.811815,104.03624
20200508T0400,17.555305,105.46121
20200508T0500,16.62249,107.650116
20200508T0600,15.034041,106.69924
20200508T0700,15.034041,106.69924
20200508T0800,14.205182,98.74616
20200508T0900,12.849528,101.30993
20200508T1000,12.0694,107.35402
20200508T1100,10.028439,111.03751
20200508T1200,9.028754,113.498566
20200508T1300,8.225035,113.19859
20200508T1400,8.311245,107.650116
20200508T1500,8.28,89.99999
20200508T1600,6.6185193,67.61986
20200508T1700,7.754637,21.801407
20200508T1800,7.289444,20.224854
20200508T1900,5.4477882,97.59464
20200508T2000,18.391735,3.3664398
20200508T2100,11.183201,33.178513
20200508T2200,12.783802,122.34744
20200508T2300,20.592503,126.46923
20200509T0000,20.929594,130.81508
20200509T0100,20.421871,130.71085
20200509T0200,18.504139,127.092834
20200509T0300,17.10284,120.34325
20200509T0400,17.25373,113.35556
20200509T0500,16.981165,111.12472
20200509T0600,17.654688,110.282555
20200509T0700,18.331741,109.50244
20200509T0800,14.168641,117.21611
20200509T0900,12.074766,116.56505
20200509T1000,11.113451,114.90476
20200509T1100,18.218275,119.60445
20200509T1200,17.238699,118.70595
20200509T1300,14.654254,117.8241
20200509T1400,13.479583,124.11447
20200509T1500,13.397612,149.30028
20200509T1600,15.379206,159.44395
20200509T1700,14.24163,159.27444
20200509T1800,12.144331,168.02386
20200509T1900,10.8955765,187.59465
20200509T2000,16.516901,16.460007
20200509T2100,13.708391,66.8014
20200509T2200,15.716793,110.09523
20200509T2300,15.379206,122.57405
20200510T0000,13.684735,144.63754
20200510T0100,10.799999,143.1301
20200510T0200,9.726664,141.009
20200510T0300,12.413477,150.46121
20200510T0400,10.495713,185.90614
20200510T0500,10.086427,182.04541
20200510T0600,9.726665,182.1211
20200510T0700,9.007196,177.7094
20200510T0800,11.885453,215.13419
20200510T0900,13.70839,240.0685
20200510T1000,17.163355,260.34012
20200510T1100,20.418695,279.1302
20200510T1200,21.611996,299.98163
20200510T1300,20.898613,312.2073
20200510T1400,19.862083,313.5312
20200510T1500,20.150354,311.37854
20200510T1600,18.837324,315.0
20200510T1700,17.884428,319.8991
20200510T1800,17.287498,328.627
20200510T1900,17.399586,335.55603
20200510T2000,18.204042,335.46228
20200510T2100,16.676977,346.26373
20200510T2200,15.517629,356.0091
20200510T2300,14.241629,16.144318
20200511T0000,16.323528,41.42366
20200511T0100,16.039202,44.090607
20200511T0200,14.186923,35.70668
20200511T0300,14.654254,27.824081
20200511T0400,14.182355,23.962494
20200511T0500,14.81259,25.942291
20200511T0600,14.693999,30.963745
20200511T0700,13.684735,35.362457
20200511T0800,12.819235,38.157227
20200511T0900,13.891522,31.218384
20200511T1000,14.458382,18.886078
20200511T1100,13.627795,12.200455
20200511T1200,15.496736,2.6629944
20200511T1300,17.698677,355.33313
20200511T1400,17.339897,355.23636
20200511T1500,19.134262,355.684
20200511T1600,21.349546,5.806717
20200511T1700,19.813087,24.702423
20200511T1800,19.134262,41.18593
20200511T1900,21.650938,47.021362
20200511T2000,21.767351,55.784294
20200511T2100,22.065973,56.30993
20200511T2200,21.485697,58.706955
20200511T2300,21.261345,61.699234
20200512T0000,20.945072,65.63754
20200512T0100,20.268991,70.27772
20200512T0200,18.792551,69.829346
20200512T0300,17.782688,68.62937
20200512T0400,16.854767,70.016884
20200512T0500,16.62249,72.34988
20200512T0600,16.516901,73.53998
20200512T0700,15.463244,77.905235
20200512T0800,15.905319,84.805565
20200512T0900,15.84,89.99999
20200512T1000,12.682018,96.5198
20200512T1100,7.771331,103.392494
20200512T1200,4.379589,80.537674
20200512T1300,4.68,360.0
20200512T1400,12.287555,328.17255
20200512T1500,23.000591,320.07962
20200512T1600,23.4,323.13013
20200512T1700,22.9724,327.80426
20200512T1800,21.749481,335.55603
20200512T1900,20.724247,342.8241
20200512T2000,17.76081,342.29956
20200512T2100,12.979984,356.8202
20200512T2200,9.449572,72.255325
20200512T2300,21.077686,97.85332
