location,Santa María del Oro,Santa María del Oro
lat,26.33321,26.33321
lon,-105.00000,-105.00000
asl,1700.028,1700.028
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Santa María del Oro Wind Speed [80 m],Santa María del Oro Wind Direction [80 m]
20200420T0000,19.107151,312.7094
20200420T0100,15.580141,310.31412
20200420T0200,10.296251,306.46924
20200420T0300,4.802999,282.99463
20200420T0400,3.8939953,236.30994
20200420T0500,6.1305785,220.23636
20200420T0600,7.8954163,223.15239
20200420T0700,9.511088,240.52411
20200420T0800,9.339208,242.44719
20200420T0900,9.511088,240.52411
20200420T1000,5.8048253,240.25513
20200420T1100,1.835647,258.69006
20200420T1200,0.8049845,153.43495
20200420T1300,2.3051248,128.6598
20200420T1400,2.0991426,149.03624
20200420T1500,1.8,180.0
20200420T1600,1.8,233.1301
20200420T1700,1.08,270.0
20200420T1800,0.5091169,315.0
20200420T1900,3.8939953,56.30993
20200420T2000,12.303366,69.443954
20200420T2100,16.766108,75.06858
20200420T2200,12.979984,70.55996
20200420T2300,8.0899935,32.275635
20200421T0000,11.090103,346.86597
20200421T0100,16.58346,332.87872
20200421T0200,17.238699,331.29407
20200421T0300,14.168641,332.78387
20200421T0400,9.585739,325.71313
20200421T0500,6.489992,303.69006
20200421T0600,6.130579,273.36646
20200421T0700,6.4799995,270.0
20200421T0800,11.901798,273.46823
20200421T0900,8.654986,253.07248
20200421T1000,6.489992,266.8202
20200421T1100,5.692099,304.69516
20200421T1200,5.00128,329.7436
20200421T1300,2.16,360.0
20200421T1400,1.2979984,123.69006
20200421T1500,3.0758414,159.44395
20200421T1600,4.0249224,190.30484
20200421T1700,4.2136917,199.98311
20200421T1800,4.1046314,195.25513
20200421T1900,4.3349743,138.36646
20200421T2000,12.55879,62.70043
20200421T2100,13.1041975,69.0755
20200421T2200,6.924738,81.02737
20200421T2300,1.4399999,360.0
20200422T0000,6.989936,304.50854
20200422T0100,9.085988,303.69006
20200422T0200,6.4096174,308.15723
20200422T0300,2.968636,284.03625
20200422T0400,3.8939953,213.69006
20200422T0500,6.28713,203.62938
20200422T0600,7.10031,210.46555
20200422T0700,7.386582,223.02507
20200422T0800,3.8268526,228.81409
20200422T0900,1.609969,243.43495
20200422T1000,0.0,180.0
20200422T1100,1.08,360.0
20200422T1200,2.52,360.0
20200422T1300,4.6102495,321.3402
20200422T1400,9.178235,295.55997
20200422T1500,12.413476,286.8584
20200422T1600,15.941944,276.4831
20200422T1700,21.077686,277.85333
20200422T1800,28.664682,281.59216
20200422T1900,36.77114,288.25757
20200422T2000,41.48912,285.60394
20200422T2100,35.900864,291.16125
20200422T2200,34.47176,294.69156
20200422T2300,36.086296,298.61047
20200423T0000,36.94519,303.07068
20200423T0100,34.1526,304.69516
20200423T0200,31.853388,304.40848
20200423T0300,30.376833,301.42957
20200423T0400,26.576681,294.82935
20200423T0500,23.806318,290.35324
20200423T0600,21.068459,289.98312
20200423T0700,17.873554,288.7999
20200423T0800,14.168641,297.2161
20200423T0900,10.08,270.0
20200423T1000,8.891344,291.37064
20200423T1100,9.885262,326.88867
20200423T1200,6.792466,327.99463
20200423T1300,5.3517847,312.27368
20200423T1400,5.904439,307.5686
20200423T1500,6.4096174,308.15723
20200423T1600,6.696387,306.25385
20200423T1700,6.3690495,317.29062
20200423T1800,5.95906,334.98312
20200423T1900,7.072878,14.743561
20200423T2000,19.211996,12.994629
20200423T2100,18.947083,38.82982
20200423T2200,16.87398,56.30993
20200423T2300,12.015589,81.38435
20200424T0000,7.10031,120.465546
20200424T0100,6.2145634,169.99202
20200424T0200,6.439876,206.56505
20200424T0300,6.489992,236.30994
20200424T0400,7.289444,249.77515
20200424T0500,8.209263,254.74487
20200424T0600,8.905908,255.96376
20200424T0700,9.9571085,257.4712
20200424T0800,12.224107,283.627
20200424T0900,9.826088,278.42697
20200424T1000,7.5685663,295.3462
20200424T1100,8.049845,333.43497
20200424T1200,7.5599995,360.0
20200424T1300,6.130579,3.3664398
20200424T1400,4.68,360.0
20200424T1500,4.32,360.0
20200424T1600,3.96,360.0
20200424T1700,3.6,360.0
20200424T1800,3.2399998,360.0
20200424T1900,4.198285,30.963745
20200424T2000,17.388409,27.09555
20200424T2100,20.12461,42.82524
20200424T2200,19.272614,57.200462
20200424T2300,15.192682,76.29304
20200425T0000,9.779817,96.34019
20200425T0100,5.3517847,132.27368
20200425T0200,4.198285,210.96376
20200425T0300,6.489992,250.55997
20200425T0400,8.287822,267.51044
20200425T0500,9.028754,274.5739
20200425T0600,9.531505,280.88553
20200425T0700,9.6932955,285.06848
20200425T0800,15.496736,300.73547
20200425T0900,11.27553,286.69925
20200425T1000,9.957108,310.60132
20200425T1100,10.594036,350.2176
20200425T1200,10.495713,22.166351
20200425T1300,9.726664,51.009003
20200425T1400,9.028754,66.501434
20200425T1500,8.225035,66.8014
20200425T1600,7.10031,59.534447
20200425T1700,7.491114,54.782394
20200425T1800,8.287822,55.61966
20200425T1900,10.383987,56.30993
20200425T2000,20.948164,19.057709
20200425T2100,27.698954,27.897263
20200425T2200,29.379175,36.027374
20200425T2300,27.534704,48.179825
20200426T0000,25.338476,67.44274
20200426T0100,24.546085,85.79464
20200426T0200,24.905132,94.144615
20200426T0300,25.812277,98.01709
20200426T0400,25.40743,97.32641
20200426T0500,22.7057,92.72631
20200426T0600,21.599998,89.99999
20200426T0700,17.698677,85.33313
20200426T0800,16.766108,104.93142
20200426T0900,14.917212,98.32565
20200426T1000,19.211996,102.99461
20200426T1100,20.870687,104.99507
20200426T1200,20.696085,103.06931
20200426T1300,20.617662,102.09476
20200426T1400,20.478907,100.124664
20200426T1500,20.364674,98.1301
20200426T1600,18.709612,101.09372
20200426T1700,17.811815,104.03624
20200426T1800,16.516901,106.460014
20200426T1900,16.766108,104.93142
20200426T2000,35.29102,288.43494
20200426T2100,29.784426,277.6404
20200426T2200,32.10667,252.37772
20200426T2300,33.90313,221.98721
20200427T0000,26.717722,194.03624
20200427T0100,21.868332,200.22485
20200427T0200,19.373219,228.01279
20200427T0300,18.079027,234.72757
20200427T0400,15.629971,231.5463
20200427T0500,15.281989,226.90915
20200427T0600,15.021105,224.02899
20200427T0700,16.08761,220.46222
20200427T0800,15.856354,219.47246
20200427T0900,12.313894,217.87498
20200427T1000,8.373386,205.46335
20200427T1100,7.5942073,185.44034
20200427T1200,6.924738,188.97263
20200427T1300,4.3498964,204.44395
20200427T1400,3.0547013,225.0
20200427T1500,1.9386592,248.1986
20200427T1600,2.9024127,262.875
20200427T1700,3.6179552,264.28943
20200427T1800,5.2416787,254.0546
20200427T1900,5.634891,243.43495
20200427T2000,4.1046314,232.12502
20200427T2100,4.0249224,190.30484
20200427T2200,6.519877,173.6598
20200427T2300,7.208994,182.86241
