location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200426T0000,12.224107,346.37302
20200426T0100,23.469128,327.5288
20200426T0200,6.4096174,321.84277
20200426T0300,5.937272,194.03624
20200426T0400,9.885262,236.88866
20200426T0500,22.73707,246.68228
20200426T0600,13.324863,268.45184
20200426T0700,18.775301,265.6013
20200426T0800,6.4096174,321.84277
20200426T0900,7.653705,48.81407
20200426T1000,0.0,180.0
20200426T1100,5.4477882,277.59464
20200426T1200,9.885262,280.4915
20200426T1300,14.685176,281.30994
20200426T1400,11.609651,277.125
20200426T1500,7.42159,284.03625
20200426T1600,4.6938252,274.3987
20200426T1700,4.2136917,250.0169
20200426T1800,6.151683,249.44395
20200426T1900,9.021574,241.38954
20200426T2000,2.8116899,50.194427
20200426T2100,1.5273507,225.0
20200426T2200,5.1165614,230.7106
20200426T2300,9.339208,242.44719
20200427T0000,11.966953,263.08878
20200427T0100,11.901798,266.53177
20200427T0200,9.007196,272.29062
20200427T0300,5.3517847,289.6538
20200427T0400,2.4149535,296.56506
20200427T0500,1.609969,333.43497
20200427T0600,0.35999998,360.0
20200427T0700,1.8,216.8699
20200427T0800,2.3051248,51.34018
20200427T0900,4.0249224,26.565033
20200427T1000,5.00128,30.256424
20200427T1100,3.096837,35.53766
20200427T1200,3.319036,77.47118
20200427T1300,3.6179552,84.289406
20200427T1400,6.130579,93.366455
20200427T1500,9.779817,96.34019
20200427T1600,11.177405,104.93142
20200427T1700,12.864649,107.92791
20200427T1800,14.264361,100.17551
20200427T1900,14.471821,95.71059
20200427T2000,11.183201,86.30861
20200427T2100,5.8603754,79.38034
20200427T2200,3.4152596,108.434944
20200427T2300,0.8049845,243.43495
20200428T0000,4.6938252,274.3987
20200428T0100,6.638072,282.5288
20200428T0200,7.342588,281.30994
20200428T0300,6.9899354,281.88867
20200428T0400,4.73506,278.74615
20200428T0500,3.7064266,299.0546
20200428T0600,4.896529,287.10272
20200428T0700,6.379216,286.38956
20200428T0800,3.7064266,299.0546
20200428T0900,4.6800003,337.38013
20200428T1000,6.130579,356.63354
20200428T1100,4.1046314,15.255127
20200428T1200,3.6,53.130096
20200428T1300,5.3517847,70.346176
20200428T1400,6.12,89.99999
20200428T1500,7.9932976,97.76516
20200428T1600,9.346143,105.64224
20200428T1700,10.483357,105.9454
20200428T1800,11.440978,102.72436
20200428T1900,11.570515,95.35582
20200428T2000,6.439876,63.43495
20200428T2100,0.0,180.0
20200428T2200,2.3051248,321.3402
20200428T2300,3.396233,327.99463
20200429T0000,4.8433046,311.98724
20200429T0100,6.9247384,297.89728
20200429T0200,9.107359,288.43497
20200429T0300,10.137692,286.50436
20200429T0400,9.693296,301.3287
20200429T0500,11.609651,299.74487
20200429T0600,16.766108,284.93143
20200429T0700,14.561099,278.53076
20200429T0800,10.636766,246.0375
20200429T0900,2.9024127,240.25513
20200429T1000,5.0911684,44.999985
20200429T1100,10.739833,76.42956
20200429T1200,14.759999,77.31962
20200429T1300,15.84409,88.69804
20200429T1400,14.05845,92.93567
20200429T1500,11.212135,95.52754
20200429T1600,8.209263,105.25512
20200429T1700,10.483357,105.9454
20200429T1800,11.090103,103.13402
20200429T1900,8.707237,119.74488
20200429T2000,8.854829,63.43495
