location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200420T0000,3.6179552,84.289406
20200420T0100,3.6,36.86989
20200420T0200,1.609969,26.565033
20200420T0300,1.609969,296.56506
20200420T0400,2.8799999,270.0
20200420T0500,4.5536795,251.56506
20200420T0600,5.8048253,240.25513
20200420T0700,5.634891,243.43495
20200420T0800,5.95906,205.01689
20200420T0900,6.1305785,229.76364
20200420T1000,8.049845,259.69516
20200420T1100,5.1165614,320.7106
20200420T1200,9.726665,2.1210938
20200420T1300,14.77755,2.792694
20200420T1400,15.034041,16.69925
20200420T1500,17.713316,37.568573
20200420T1600,18.59845,47.353302
20200420T1700,18.218275,52.22432
20200420T1800,16.1198,60.57254
20200420T1900,18.214718,71.56504
20200420T2000,17.87718,64.98311
20200420T2100,13.217443,60.64225
20200420T2200,8.534353,62.354027
20200420T2300,5.8048253,82.874985
20200421T0000,6.162207,96.70984
20200421T0100,7.2,89.99999
20200421T0200,5.8603754,79.38034
20200421T0300,3.319036,77.47118
20200421T0400,0.35999998,89.99999
20200421T0500,1.484318,255.96376
20200421T0600,2.4149535,243.43495
20200421T0700,2.2768397,198.43495
20200421T0800,5.4833565,156.8014
20200421T0900,5.2416787,164.0546
20200421T1000,3.6,126.869896
20200421T1100,4.072935,44.999985
20200421T1200,9.693296,21.801407
20200421T1300,13.281023,32.828537
20200421T1400,10.182337,44.999985
20200421T1500,8.942214,40.100906
20200421T1600,13.551501,50.389297
20200421T1700,19.64228,63.904564
20200421T1800,22.218153,63.019768
20200421T1900,23.532547,60.689995
20200421T2000,16.42247,63.996643
20200421T2100,12.245294,88.315315
20200421T2200,6.2145634,100.00798
20200421T2300,1.5273507,135.0
20200422T0000,1.835647,348.69006
20200422T0100,3.563818,44.999985
20200422T0200,5.4477882,82.40536
20200422T0300,4.379589,99.46232
20200422T0400,3.671294,168.69006
20200422T0500,5.7599998,180.0
20200422T0600,8.4042845,189.86581
20200422T0700,12.641076,199.98311
20200422T0800,5.3999996,216.8699
20200422T0900,5.6233797,219.80557
20200422T1000,12.682018,235.40771
20200422T1100,16.946787,257.73523
20200422T1200,16.394829,278.84183
20200422T1300,12.594856,300.96375
20200422T1400,11.298495,329.34933
20200422T1500,13.363711,4.6354523
20200422T1600,13.513193,41.7603
20200422T1700,13.527572,64.79888
20200422T1800,14.458382,71.113914
20200422T1900,16.516901,69.59012
20200422T2000,13.684735,91.50743
20200422T2100,10.44,133.60281
20200422T2200,12.144331,168.02386
20200422T2300,14.759999,192.68039
20200423T0000,25.233404,222.10873
20200423T0100,23.4,239.48978
20200423T0200,22.007162,254.82709
20200423T0300,22.366402,236.82149
20200423T0400,28.58545,233.70737
20200423T0500,23.34455,243.43495
20200423T0600,24.482647,250.23282
